name,latitude_deg,longitude_deg,municipality,iata_code
Albany Airport,-34.94329834,117.8089981,Albany,ALH
Armidale Airport,-30.52809906,151.6170044,Armidale,ARM
Ayers Rock Connellan Airport,-25.1861,130.975998,Ayers Rock,AYQ
Barcaldine Airport,-23.56529999,145.3070068,Barcaldine,BCI
Alice Springs Airport,-23.80669975,133.9019928,Alice Springs,ASP
Brisbane International Airport,-27.38419914,153.1170044,Brisbane,BNE
Gold Coast Airport,-28.1644001,153.5050049,Gold Coast,OOL
Blackall Airport,-24.42779922,145.4290009,Blackall,BKQ
Cairns International Airport,-16.88579941,145.7550049,Cairns,CNS
Charleville Airport,-26.41329956,146.2619934,Charleville,CTL
Birdsville Airport,-25.89749908,139.3480072,,BVI
Broken Hill Airport,-32.00139999,141.4720001,Broken Hill,BHQ
Hamilton Island Airport,-20.35810089,148.9519959,Hamilton Island,HTI
Bedourie Airport,-24.34609985,139.4600067,,BEU
Bourke Airport,-30.03919983,145.9519958,,BRK
Mount Isa Airport,-20.66390038,139.4889984,Mount Isa,ISA
Sunshine Coast Airport,-26.6033,153.091003,Maroochydore,MCY
Mackay Airport,-21.17169952,149.1799927,Mackay,MKY
Ballina Byron Gateway Airport,-28.83390045,153.5619965,Ballina,BNK
Oakey Airport,-27.41139984,151.7350006,,OKY
Boulia Airport,-22.91329956,139.8999939,,BQL
Proserpine Whitsunday Coast Airport,-20.49500084,148.552002,Proserpine,PPP
Rockhampton Airport,-23.38190079,150.4750061,Rockhampton,ROK
Broome International Airport,-17.94470024,122.2320023,Broome,BME
Bathurst Airport,-33.40940094,149.6519928,Bathurst,BHS
Townsville Airport,-19.25250053,146.7649994,Townsville,TSV
Blackwater Airport,-23.60309982,148.8070068,,BLT
Bundaberg Airport,-24.90390015,152.3190002,Bundaberg,BDB
Weipa Airport,-12.67860031,141.9250031,Weipa,WEI
Carnarvon Airport,-24.880211,113.67174,Carnarvon,CVQ
Cobar Airport,-31.53829956,145.7940063,,CAZ
Coober Pedy Airport,-29.04000092,134.720993,,CPD
Cloncurry Airport,-20.66860008,140.5039978,Cloncurry,CNJ
Ceduna Airport,-32.13059998,133.7100067,,CED
Cooktown Airport,-15.44470024,145.1840057,,CTN
Cunnamulla Airport,-28.03000069,145.621994,,CMA
Coonamble Airport,-30.98329926,148.3760071,,CNB
Coen Airport,-13.761133,143.113311,Coen,CUQ
Cooma Snowy Mountains Airport,-36.30059814,148.973999,Cooma,OOM
Devonport Airport,-41.16970062,146.4299927,Devonport,DPO
Elcho Island Airport,-12.01939964,135.5709991,Elcho Island,ELC
Emerald Airport,-23.56749916,148.1790009,Emerald,EMD
Esperance Airport,-33.684399,121.822998,Esperance,EPR
Geraldton Airport,-28.796101,114.707001,Geraldton,GET
Gladstone Airport,-23.869699,151.223007,Gladstone,GLT
Groote Eylandt Airport,-13.97500038,136.4600067,Groote Eylandt,GTE
Griffith Airport,-34.25080109,146.0670013,Griffith,GFF
Hervey Bay Airport,-25.31889915,152.8800049,Hervey Bay,HVB
Horn Island Airport,-10.58640003,142.2899933,Horn Island,HID
Mount Hotham Airport,-37.04750061,147.3339996,Mount Hotham,MHU
King Island Airport,-39.87749863,143.878006,,KNS
Kowanyama Airport,-15.48560047,141.7510071,Kowanyama,KWM
Kingscote Airport,-35.71390152,137.5209961,,KGC
