Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total
ADELAIDE,JAN,294269,298774,63966,53541,593043,117507,710550
ADELAIDE,FEB,275909,266178,41150,30615,542087,71765,613852
ADELAIDE,MAR,192633,193960,23735,18459,386593,42194,428787
ADELAIDE,APR,5462,6383,0,0,11845,0,11845
ADELAIDE,MAY,7273,8466,0,0,15739,0,15739
ADELAIDE,JUN,12264,12993,26,51,25257,77,25334
ADELAIDE,JUL,25774,27491,350,313,53265,663,53928
ADELAIDE,AUG,36135,38427,754,661,74562,1415,75977
ALICE SPRINGS,JAN,16932,13908,0,0,30840,0,30840
ALICE SPRINGS,FEB,14658,13992,0,0,28650,0,28650
ALICE SPRINGS,MAR,12606,11508,0,0,24114,0,24114
ALICE SPRINGS,APR,1481,1537,0,0,3018,0,3018
ALICE SPRINGS,MAY,1623,1725,0,0,3348,0,3348
ALICE SPRINGS,JUN,2939,3052,0,0,5991,0,5991
ALICE SPRINGS,JUL,5697,5819,0,0,11516,0,11516
ALICE SPRINGS,AUG,8541,8448,0,0,16989,0,16989
AYERS ROCK,JAN,14817,15125,0,0,29942,0,29942
AYERS ROCK,FEB,13069,13499,0,0,26568,0,26568
AYERS ROCK,MAR,9540,11619,0,0,21159,0,21159
AYERS ROCK,APR,0,0,0,0,0,0,0
AYERS ROCK,MAY,0,0,0,0,0,0,0
AYERS ROCK,JUN,0,0,0,0,0,0,0
AYERS ROCK,JUL,0,0,0,0,0,0,0
AYERS ROCK,AUG,0,0,0,0,0,0,0
BALLINA,JAN,27390,30186,0,0,57576,0,57576
BALLINA,FEB,20690,20309,0,0,40999,0,40999
BALLINA,MAR,13835,14568,0,0,28403,0,28403
BALLINA,APR,195,182,0,0,377,0,377
BALLINA,MAY,1257,1272,0,0,2529,0,2529
BALLINA,JUN,4322,3587,0,0,7909,0,7909
BALLINA,JUL,15858,15370,0,0,31228,0,31228
BALLINA,AUG,13248,13906,0,0,27154,0,27154
BRISBANE,JAN,707885,734476,333471,283668,1442361,617139,2059500
BRISBANE,FEB,606981,612685,223875,197282,1219666,421157,1640823
BRISBANE,MAR,445000,440149,138690,125177,885149,263867,1149016
BRISBANE,APR,26799,28101,2379,6582,54900,8961,63861
BRISBANE,MAY,32659,32637,1809,2679,65296,4488,69784
BRISBANE,JUN,71393,76000,4496,5537,147393,10033,157426
BRISBANE,JUL,178059,169412,3985,7081,347471,11066,358537
BRISBANE,AUG,139600,144750,2853,8057,284350,10910,295260
CAIRNS,JAN,167386,180829,28638,24465,348215,53103,401318
CAIRNS,FEB,112318,121118,24070,19120,233436,43190,276626
CAIRNS,MAR,87371,93860,10976,10079,181231,21055,202286
CAIRNS,APR,3459,3967,30,24,7426,54,7480
CAIRNS,MAY,4457,4324,37,55,8781,92,8873
CAIRNS,JUN,13751,12639,102,144,26390,246,26636
CAIRNS,JUL,54621,49769,53,72,104390,125,104515
