Airport,Year,Month,Month_ID,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total
ADELAIDE,2015,JAN,1,271005,273323,544328,50816,40325,91141,321821,313648,635469
ADELAIDE,2015,FEB,2,255345,248620,503965,38274,30765,69039,293619,279385,573004
ADELAIDE,2015,MAR,3,291956,293217,585173,34114,36696,70810,326070,329913,655983
ADELAIDE,2015,APR,4,291914,294232,586146,33223,37246,70469,325137,331478,656615
ADELAIDE,2015,MAY,5,270553,272195,542748,31243,36424,67667,301796,308619,610415
ADELAIDE,2015,JUN,6,252967,252494,505461,32695,37826,70521,285662,290320,575982
ADELAIDE,2015,JUL,7,296045,302047,598092,40295,36893,77188,336340,338940,675280
ADELAIDE,2015,AUG,8,282798,277223,560021,35798,34901,70699,318596,312124,630720
ADELAIDE,2015,SEP,9,279982,283113,563095,35418,35682,71100,315400,318795,634195
ADELAIDE,2015,OCT,10,315821,304706,620527,39982,32407,72389,355803,337113,692916
ADELAIDE,2015,NOV,11,296138,294450,590588,30136,30705,60841,326274,325155,651429
ADELAIDE,2015,DEC,12,298324,301313,599637,36126,43398,79524,334450,344711,679161
ADELAIDE,2016,JAN,1,282520,284142,566662,44890,39537,84427,327410,323679,651089
ADELAIDE,2016,FEB,2,267124,259758,526882,35415,29381,64796,302539,289139,591678
ADELAIDE,2016,MAR,3,305728,298866,604594,32873,33552,66425,338601,332418,671019
ADELAIDE,2016,APR,4,291320,302867,594187,31541,36181,67722,322861,339048,661909
ADELAIDE,2016,MAY,5,281939,282036,563975,31336,37676,69012,313275,319712,632987
ADELAIDE,2016,JUN,6,269707,262566,532273,33289,39790,73079,302996,302356,605352
ADELAIDE,2016,JUL,7,300002,307952,607954,47258,43425,90683,347260,351377,698637
ADELAIDE,2016,AUG,8,284393,279860,564253,39027,40220,79247,323420,320080,643500
ADELAIDE,2016,SEP,9,293756,288573,582329,42085,41067,83152,335841,329640,665481
ADELAIDE,2016,OCT,10,317098,319192,636290,46341,35408,81749,363439,354600,718039
ADELAIDE,2016,NOV,11,304689,305932,610621,34776,36227,71003,339465,342159,681624
ADELAIDE,2016,DEC,12,304574,301400,605974,41707,51177,92884,346281,352577,698858
ADELAIDE,2017,JAN,1,292441,295396,587837,51344,42933,94277,343785,338329,682114
ADELAIDE,2017,FEB,2,265665,258284,523949,37838,30773,68611,303503,289057,592560
ADELAIDE,2017,MAR,3,309494,311591,621085,34763,36346,71109,344257,347937,692194
ADELAIDE,2017,APR,4,294726,296413,591139,34119,39693,73812,328845,336106,664951
ADELAIDE,2017,MAY,5,285884,284998,570882,33197,37924,71121,319081,322922,642003
ADELAIDE,2017,JUN,6,273329,272795,546124,34097,39198,73295,307426,311993,619419
ADELAIDE,2017,JUL,7,308341,310767,619108,46589,43123,89712,354930,353890,708820
ADELAIDE,2017,AUG,8,289066,285877,574943,42160,40424,82584,331226,326301,657527
ADELAIDE,2017,SEP,9,296741,294811,591552,44410,42623,87033,341151,337434,678585
ADELAIDE,2017,OCT,10,327412,326148,653560,46426,36194,82620,373838,362342,736180
ADELAIDE,2017,NOV,11,316350,311569,627919,37547,36871,74418,353897,348440,702337
ADELAIDE,2017,DEC,12,318458,322403,640861,42206,52177,94383,360664,374580,735244
ADELAIDE,2018,JAN,1,300307,304558,604865,58412,47172,105584,358719,351730,710449
ADELAIDE,2018,FEB,2,276851,270512,547363,40981,32712,73693,317832,303224,621056
ADELAIDE,2018,MAR,3,320101,318876,638977,37451,40042,77493,357552,358918,716470
ADELAIDE,2018,APR,4,311318,316660,627978,36246,41703,77949,347564,358363,705927
ADELAIDE,2018,MAY,5,294206,295304,589510,34981,39547,74528,329187,334851,664038
ADELAIDE,2018,JUN,6,279737,278632,558369,34610,43963,78573,314347,322595,636942
ADELAIDE,2018,JUL,7,318564,319765,638329,48394,42872,91266,366958,362637,729595
ADELAIDE,2018,AUG,8,303083,299851,602934,43581,43992,87573,346664,343843,690507
ADELAIDE,2018,SEP,9,300580,300750,601330,45590,43804,89394,346170,344554,690724
ADELAIDE,2018,OCT,10,329727,327636,657363,49784,38321,88105,379511,365957,745468
ADELAIDE,2018,NOV,11,317799,316175,633974,40957,41321,82278,358756,357496,716252
ADELAIDE,2018,DEC,12,309982,309368,619350,44574,54951,99525,354556,364319,718875
ADELAIDE,2019,JAN,1,293965,298986,592951,58221,49255,107476,352186,348241,700427
ADELAIDE,2019,FEB,2,278620,272735,551355,44990,35260,80250,323610,307995,631605
ADELAIDE,2019,MAR,3,314477,318070,632547,38857,39981,78838,353334,358051,711385
ADELAIDE,2019,APR,4,315393,315365,630758,40996,46294,87290,356389,361659,718048
ADELAIDE,2019,MAY,5,294271,296479,590750,38454,43024,81478,332725,339503,672228
