Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
ADELAIDE,APR,300934.2,305107.4,35225,40223.4,606041.6,75448.4,681490,pre
ADELAIDE,AUG,293901,290031,42090.2,41771.4,583932,83861.6,667793.6,pre
ADELAIDE,DEC,308524.2,309123.6,42675.6,52529.6,617647.8,95205.2,712853,pre
ADELAIDE,FEB,268721,261981.8,39499.6,31778.2,530702.8,71277.8,601980.6,pre
ADELAIDE,JAN,288047.6,291281,52736.6,43844.4,579328.6,96581,675909.6,pre
ADELAIDE,JUL,308821.2,313117.4,47694,43122.4,621938.6,90816.4,712755,pre
ADELAIDE,JUN,270961.6,268488.8,35054.8,41646.4,539450.4,76701.2,616151.6,pre
ADELAIDE,MAR,308351.2,308124,35611.6,37323.4,616475.2,72935,689410.2,pre
ADELAIDE,MAY,285370.6,286202.4,33842.2,38919,571573,72761.2,644334.2,pre
ADELAIDE,NOV,311134.6,310034,37454.4,37639.8,621168.6,75094.2,696262.8,pre
ADELAIDE,OCT,327138.8,324218.6,47680,37133.6,651357.4,84813.6,736171,pre
ADELAIDE,SEP,295857.8,295057.2,44116.6,43006.8,590915,87123.4,678038.4,pre
ALICE SPRINGS,APR,24719.6,24949.6,0,0,49669.2,0,49669.2,pre
ALICE SPRINGS,AUG,27963.2,29403.2,0,0,57366.4,0,57366.4,pre
ALICE SPRINGS,DEC,19927.4,23220,0,0,43147.4,0,43147.4,pre
ALICE SPRINGS,FEB,20704.6,19903.8,0,0,40608.4,0,40608.4,pre
ALICE SPRINGS,JAN,21922.8,19370.4,0,0,41293.2,0,41293.2,pre
ALICE SPRINGS,JUL,29498,31145,0,0,60643,0,60643,pre
ALICE SPRINGS,JUN,25088.2,24977.4,0,0,50065.6,0,50065.6,pre
ALICE SPRINGS,MAR,25278.6,24439.8,0,0,49718.4,0,49718.4,pre
ALICE SPRINGS,MAY,23597,24280.4,0,0,47877.4,0,47877.4,pre
ALICE SPRINGS,NOV,24796.8,25176.8,0,0,49973.6,0,49973.6,pre
ALICE SPRINGS,OCT,27578.2,28343.4,0,0,55921.6,0,55921.6,pre
ALICE SPRINGS,SEP,26742.8,26999.8,0,0,53742.6,0,53742.6,pre
All Australian Airports,APR,4921022.8,4921022.8,1568647.6,1607098.8,9842045.6,3175746.4,13017792,pre
All Australian Airports,AUG,4976348.8,4976348.8,1603628.6,1640818.8,9952697.6,3244447.4,13197145,pre
All Australian Airports,DEC,5134831.4,5134831.4,1739775.6,2040624.6,10269662.8,3780400.2,14050063,pre
All Australian Airports,FEB,4385926,4385926,1605236,1395226,8771852,3000462,11772314,pre
All Australian Airports,JAN,4889878,4889878,2006562.8,1714191.6,9779756,3720754.4,13500510.4,pre
All Australian Airports,JUL,5271672,5271672,1871984.6,1624999.8,10543344,3496984.4,14040328.4,pre
All Australian Airports,JUN,4605466.2,4605466.2,1407577,1651311.6,9210932.4,3058888.6,12269821,pre
