airport_1,airport_2,pre,airport_1_long,airport_2_long,,,,,,,iata_code,name,state
ADL,MEL,1201450,Adelaide Airport,Melbourne International Airport,,,,,,,ARM,Armidale Airport,NSW
ADL,SYD,937850,Adelaide Airport,Sydney Kingsford Smith International Airport,,,,,,,AYQ,Ayers Rock Connellan Airport,NT
ADL,BNE,414950,Adelaide Airport,Brisbane International Airport,,,,,,,ASP,Alice Springs Airport,NT
ADL,PER,309500,Adelaide Airport,Perth International Airport,,,,,,,BNE,Brisbane International Airport,QLD
ADL,OOL,108400,Adelaide Airport,Gold Coast Airport,,,,,,,OOL,Gold Coast Airport,QLD
ALH,SYD,112000,Albany Airport,Sydney Kingsford Smith International Airport,,,,,,,CNS,Cairns International Airport,QLD
AYQ,SYD,95600,Ayers Rock Connellan Airport,Sydney Kingsford Smith International Airport,,,,,,,HTI,Hamilton Island Airport,QLD
QNA,SYD,196300,Ballina Byron Gateway Airport,Sydney Kingsford Smith International Airport,,,,,,,ISA,Mount Isa Airport,QLD
BME,PER,143500,Broome International Airport,Perth International Airport,,,,,,,MCY,Sunshine Coast Airport,QLD
BNE,SYD,2336500,Brisbane International Airport,Sydney Kingsford Smith International Airport,,,,,,,MKY,Mackay Airport,QLD
BNE,MEL,1748700,Brisbane International Airport,Melbourne International Airport,,,,,,,QNA,Ballina Byron Gateway Airport,NSW
BNE,CNS,677550,Brisbane International Airport,Cairns International Airport,,,,,,,PPP,Proserpine Whitsunday Coast Airport,QLD
BNE,TSV,485150,Brisbane International Airport,Townsville Airport,,,,,,,ROK,Rockhampton Airport,QLD
BNE,PER,482700,Brisbane International Airport,Perth International Airport,,,,,,,BME,Broome International Airport,NT
BNE,MKY,336800,Brisbane International Airport,Mackay Airport,,,,,,,TSV,Townsville Airport,QLD
BNE,NTL,292050,Brisbane International Airport,Newcastle Airport,,,,,,,BDB,Bundaberg Airport,QLD
BNE,CBR,291450,Brisbane International Airport,Canberra International Airport,,,,,,,EMD,Emerald Airport,QLD
BNE,ROK,272400,Brisbane International Airport,Rockhampton Airport,,,,,,,GET,Geraldton Airport,WA
BNE,DRW,204900,Brisbane International Airport,Darwin International Airport,,,,,,,GLT,Gladstone Airport,QLD
BNE,GLT,156950,Brisbane International Airport,Gladstone Airport,,,,,,,MQL,Mildura Airport,VIC
